,Total
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,0.0
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,0.0
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,0.0
2019-06-25,0.0
2019-06-26,0.0
2019-06-27,0.0
2019-06-28,0.0
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-04,0.0
2019-07-05,0.0
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,0.0
2019-07-18,0.0
2019-07-19,0.0
2019-07-20,0.0
2019-07-21,0.0
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,0.0
2019-07-25,0.0
2019-07-26,0.0
2019-07-27,0.0
2019-07-28,0.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,0.0
2019-08-02,0.0
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,0.0
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,0.0
2019-08-23,0.0
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,0.0
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-18,0.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,0.0
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,0.0
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,0.0
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.0
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-10-26,0.0
2019-10-27,0.0
2019-10-28,0.0
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,0.0
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.0
2019-11-07,0.0
2019-11-08,0.0
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.0
2019-11-30,0.0
2019-12-01,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-14,0.0
2019-12-15,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-21,0.0
2019-12-22,0.0
2019-12-23,0.0
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,0.0
2019-12-31,0.0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,555.0
2020-01-23,653.0
2020-01-24,941.0
2020-01-25,1438.0
2020-01-26,2118.0
2020-01-27,2927.0
2020-01-28,5578.0
2020-01-29,6165.0
2020-01-30,8235.0
2020-01-31,9925.0
2020-02-01,12038.0
2020-02-02,16787.0
2020-02-03,19881.0
2020-02-04,23892.0
2020-02-05,27636.0
2020-02-06,30818.0
2020-02-07,34392.0
2020-02-08,37121.0
2020-02-09,40151.0
2020-02-10,42763.0
2020-02-11,44803.0
2020-02-12,45222.0
2020-02-13,60370.0
2020-02-14,66887.0
2020-02-15,69032.0
2020-02-16,71226.0
2020-02-17,73260.0
2020-02-18,75138.0
2020-02-19,75641.0
2020-02-20,76199.0
2020-02-21,76843.0
2020-02-22,78599.0
2020-02-23,78985.0
2020-02-24,79570.0
2020-02-25,80415.0
2020-02-26,81397.0
2020-02-27,82756.0
2020-02-28,84124.0
2020-02-29,86013.0
2020-03-01,88371.0
2020-03-02,90309.0
2020-03-03,92844.0
2020-03-04,95124.0
2020-03-05,97886.0
2020-03-06,101800.0
2020-03-07,105836.0
2020-03-08,109835.0
2020-03-09,113582.0
2020-03-10,118582.0
2020-03-11,125865.0
2020-03-12,128343.0
2020-03-13,145193.0
2020-03-14,156099.0
2020-03-15,167447.0
2020-03-16,181546.0
2020-03-17,197168.0
2020-03-18,214915.0
2020-03-19,242713.0
2020-03-20,272167.0
2020-03-21,304549.0
2020-03-22,337122.0
2020-03-23,378283.0
2020-03-24,417962.0
2020-03-25,467594.0
2020-03-26,529591.0
2020-03-27,593291.0
2020-03-28,660693.0
2020-03-29,720140.0
2020-03-30,782389.0
2020-03-31,857487.0
2020-04-01,932605.0
2020-04-02,1013303.0
2020-04-03,1095917.0
2020-04-04,1197408.0
2020-04-05,1272115.0
2020-04-06,1345101.0
2020-04-07,1426096.0
2020-04-08,1511104.0
2020-04-09,1595350.0
2020-04-10,1691719.0
2020-04-11,1771514.0
2020-04-12,1846680.0
2020-04-13,1917320.0
2020-04-14,1976192.0
2020-04-15,2056055.0
2020-04-16,2152647.0
2020-04-17,2240191.0
2020-04-18,2317759.0
2020-04-19,2401379.0
2020-04-20,2472259.0
2020-04-21,2549123.0
2020-04-22,2623960.0
2020-04-23,2708885.0
2020-04-24,2810715.0
2020-04-25,2896746.0
2020-04-26,2971475.0
2020-04-27,3041657.0
2020-04-28,3116398.0
2020-04-29,3193886.0
2020-04-30,3256846.0
2020-05-01,3343777.0
2020-05-02,3427343.0
2020-05-03,3506729.0
2020-05-04,3583055.0
2020-05-05,3662691.0
2020-05-06,3755341.0
2020-05-07,3845718.0
2020-05-08,3938064.0
2020-05-09,4024009.0
2020-05-10,4101699.0
2020-05-11,4177504.0
2020-05-12,4261955.0
2020-05-13,4347018.0
2020-05-14,4442163.0
2020-05-15,4542347.0
2020-05-16,4634068.0
2020-05-17,4713620.0
2020-05-18,4801943.0
2020-05-19,4897492.0
2020-05-20,4996472.0
2020-05-21,5102424.0
2020-05-22,5210817.0
2020-05-23,5310362.0
2020-05-24,5407613.0
2020-05-25,5495061.0
2020-05-26,5589626.0
2020-05-27,5691790.0
2020-05-28,5808946.0
2020-05-29,5924275.0
